,CONCESIONARIO,EMPRESA,GRUPO,INGRESOS_TOTAL_E
72,"GRUPO W COM, S.A. DE C.V.",STAR GO/STAR TV,STARGROUP,858427008.6
103,"MARCATEL COM, S.A. DE C.V.",MARCATEL,MARCATEL,697511563.8
87,"ISLIM TELCO, S.A.P.I. DE C.V.",NETWEY,NETWEY,667930436.2
106,"MAXCOM TELECOMUNICACIONES, S.A.B. DE C.V.",MAXCOM,TRANSTELCO,623598170.0
52,"CTL MEXICO LANDING, S. DE R.L.",CENTURYLINK,CENTURYLINK,512839717.2
80,"HNS DE MEXICO, S.A. DE C.V.",HNS DE MEXICO,HNS DE MEXICO,503481972.5
176,"TELIA CARRIER COMMUNICATIONS MEXICO, S.A. DE C.V.",TELIA CARRIER COMMUNICATIONS MEXICO,TELIA CARRIER COMMUNICATIONS MEXICO,422577609.8
183,"UC TELECOMUNICACIONES, S.A.P.I. DE C.V.",UC TELECOM,UC TELECOM,329453439.0
18,"BT LATAM MEXICO, S.A. DE C.V.",BT LATAM MEXICO,BT LATAM MEXICO,279907379.64
171,"TELEVERA RED, S.A.P.I. DE C.V.",TELEVERA RED,STARGROUP,255765156.32999998
14,"AXESS NET.SOLUTIONS MEXICO, S.A. DE C.V.",AXESS,HISPASAT,217920735.0
187,"VERIZON SERVICIOS EMPRESARIALES MEXICO, S. DE R.L. DE C.V.",VERIZON SERVICIOS EMPRESARIALES MEXICO,VERIZON SERVICIOS EMPRESARIALES MEXICO,195055919.45000002
73,"GSAT COMUNICACIONES, S.A. DE C.V.",GLOBAL SAT,GLOBALSAT,171006327.0
146,"TALENTO NET, S. DE R.L. DE C.V.",NEWWW,NEWWW,168138066.74
190,"WIMOTELECOM, S.A. DE C.V.",WIMOTELECOM,WIMOTELECOM,166683898.51999998
83,"IENTC, S. DE R.L. DE C.V.",IENTC TELECOMUNICACIONES,IENTC,152043313.95
132,"SERVICIOS TRONCALIZADOS, S.A. DE C.V.",SERVITRON,SERVITRON,147707694.0
188,"VIRGIN MOBILE MEXICO, S. DE R.L. DE C.V.",VIRGIN MOBILE,VIRGIN MOBILE,146563495.0
79,"HISPASAT MEXICO, S.A. DE C.V.",HISPASAT,HISPASAT,139535703.13
57,"ELARA COMUNICACIONES, S.A.P.I. DE C.V.",ELARA COMUNICACIONES,ELARA COMUNICACIONES,134141677.71000001
160,"TELECABLE DEL MINERAL, S.A. DE C.V.",TELECABLE DEL MINERAL,TELECABLE DEL MINERAL,114326115.06
64,"FREEDOMPOP MEXICO, S.A. DE C.V.",FREEDOMPOP,FREEDOM,112440924.0
54,"DIRI TELECOMUNICACIONES, S.A. DE C.V.",DIRI MOVIL,DIRI MOVIL,98055591.64
99,"LOGISTICA ACN MEXICO, S. DE R.L. DE C.V.",FLASH MOBILE,FLASH MOBILE,85875584.60000001
85,"INTEGRACION DE SERVICIOS Y TECNOLOGIA, S.A. DE C.V.",IST,IST,83697002.46000001
78,"HIPERCABLE DE MONCLOVA, S.A. DE C.V.",HIPERCABLE DE MONCLOVA,HIPERCABLE DE MONCLOVA,83430627.0
96,"LANTOINTERNET, S.A. DE C.V.",QUATTROCOM,QUATTROCOM,82752385.0
58,"ELARA COMUNICACIONES, S.A.P.I. DE C.V.",IVEEP INTERNET SATELITAL,ELARA COMUNICACIONES,65733283.6
13,"AXESS NET.SOLUTIONS MEXICO, S.A. DE C.V.",AXESAT,HISPASAT,60953802.0
168,"TELESISTEMAS PENINSULARES, S.A. DE C.V.",TELESISTEMAS PENINSULARES,GRUPO TELECABLE,56882777.339999996
148,"TELECABLE DE CAMPECHE, S.A. DE C.V.",TELECABLE DE CAMPECHE,GRUPO TELECABLE,37452991.160000004
157,"TELECABLE DE TICUL, S.A. DE C.V.",TELECABLE DE TICUL,GRUPO TELECABLE,13975584.41
151,"TELECABLE DE CUERNAVACA, S.A. DE C.V.",TELECABLE DE CUERNAVACA,GRUPO TELECABLE,7884565.260000001
156,"TELECABLE DE TEKAX, S.A. DE C.V.",TELECABLE DE TEKAX,GRUPO TELECABLE,5473548.88
