,CONCESIONARIO,EMPRESA,GRUPO,INGRESOS_TOTAL_E
157,"TELECABLE DE VILLANUEVA, S.A. DE C.V.",TELECABLE DE VILLANUEVA,TELECABLE DE VILLANUEVA,4355978.46
64,GABRIEL BUTRON CHIAPA,GABRIEL BUTRON CHIAPA,GABRIEL BUTRON CHIAPA,4266116.0
151,"TELECABLE DE EL NARANJO, S.A. DE C.V.",TELECABLE DE EL NARANJO,TELECABLE DE EL NARANJO,4135348.0
135,"SISCAB DE MEXICO, S.A. DE C.V.",SISCAB DE MEXICO,SISCAB DE MEXICO,4003498.0700000003
121,"RADIO FRECUENCIAS CONCESIONADAS, S.A. DE C.V.",RADIO FRECUENCIAS CONCESIONADAS,RADIO FRECUENCIAS CONCESIONADAS,3778876.0
87,"JACE TELECOM, S.A. DE C.V.",JACE TELECOM,JACE TELECOM,3300058.0
73,GUILLERMO MEDELLIN MILAN,GUILLERMO MEDELLIN MILAN,GUILLERMO MEDELLIN MILAN,3273959.07
184,"VALOR AGREGADO DIGITAL, S.A. DE C.V.",VADSA,VADSA,3185056.0
133,"SIERRA NORTE TELEVISION POR CABLE, S.A. DE C.V.",SINOTECA,SINOTECA,3063188.3200000003
141,"STAR NET, S.A. DE C.V.",STAR NET,STAR NET,2856870.0
93,"KING DAVID MOBILE, S.A.P.I. DE C.V.",MIIO,MIIO,2831967.14
4,AGUSTIN PEREZ VIEYRA,AGUSTIN PEREZ VIEYRA,AGUSTIN PEREZ VIEYRA,2726562.21
137,"SISTEMAS ESPECIALES DE COMUNICACION, S.A.",SECSA,SECSA,2717734.3299999996
66,"GO 3PLAY, S. DE R.L. DE C.V.",GOBO,GOBO,2598078.0
83,"INTEGRA COMUNICACIONES, S. DE R.L. DE C.V.",INTEGRA COMUNICACIONES,INTEGRA COMUNICACIONES,2598078.0
173,"TELEVISION POR CABLE DE MUZQUIZ, S.A. DE C.V.",TV MUZQUIZ,TELEVISION POR CABLE DE MUZQUIZ,2586948.0
11,ARELY ISABEL GONGORA PECH,ARELY ISABEL GONGORA PECH,ARELY ISABEL GONGORA PECH,2497203.0
143,SUCN. DE HORTENSIA TOSCANO MORA,TELECABLE DE AGUILILLA,TELECABLE DE AGUILILLA,2460596.77
142,"STARLINK SATELLITE SYSTEMS MEXICO, S. DE R.L. DE C.V.",SPACEX-STARLINK,SPACEX-STARLINK,2437290.0
146,"TELECAB, S.A. DE C.V.",TELECAB,TELECAB,2365983.5
127,ROBERTO LOPEZ BRAVO,ROBERTO LOPEZ BRAVO,ROBERTO LOPEZ BRAVO,2364694.58
43,"CONSORCIO JAGO COMUNICACIONES, S.A. DE C.V.",CONSORCIO JAGO COMUNICACIONES,CONSORCIO JAGO COMUNICACIONES,2349000.0
104,"MARKETING 358, S.A. DE C.V.",MARKETING 358,MARKETING 358,2323024.23
41,"CONCABLETV, S.A. DE C.V.",CONCABLETV,CONCABLETV,2288255.0
89,JESUS MIGUEL FERNANDEZ GUERRERO,JESUS MIGUEL FERNANDEZ GUERRERO,JESUS MIGUEL FERNANDEZ GUERRERO,2279442.0
169,"TELESISTEMAS Y REDES MEXIQUENSES, S.A. DE C.V.",ESPID,ESPID,2251968.9400000004
101,MANUEL LOPEZ AVILA,MANUEL LOPEZ AVILA,MANUEL LOPEZ AVILA,2199560.0
85,"INTERCABLE DEL MAYAB, S. DE R.L. DE C.V.",INTERCABLE DEL MAYAB,INTERCABLE DEL MAYAB,2185595.92
44,"CONVERGENCIA Y DESARROLLO DIGITAL, S.A. DE C.V.",RED DOG,RED DOG,2144621.65
53,DANIEL GARCIA GODINEZ,DANIEL GARCIA GODINEZ,DANIEL GARCIA GODINEZ,2125416.4
163,"TELECOMUNICACIONES DIVERSIFICADAS, S.A. DE C.V.",TELECOMUNICACIONES DIVERSIFICADAS,TELECOMUNICACIONES DIVERSIFICADAS,1995007.28
59,"ENTRETENIMIENTO Y TELECOMUNICACIONES, S.A. DE C.V.",ENTRETENIMIENTO Y TELECOMUNICACIONES,ENTRETENIMIENTO Y TELECOMUNICACIONES,1808790.25
74,GUILLERMO ZARATE GARCIA,GUILLERMO ZARATE GARCIA,GUILLERMO ZARATE GARCIA,1765344.83
91,JOSE JULIAN SACRAMENTO GARZA,JOSE JULIAN SACRAMENTO GARZA,JOSE JULIAN SACRAMENTO GARZA,1533408.1199999999
114,OBDULIA NAVA BECERRIL,CABLEVISION DE LA HUACANA,CABLEVISION DE LA HUACANA,1515930.91
123,RAFAEL SANCHEZ NAZARIEGA,RAFAEL SANCHEZ NAZARIEGA,RAFAEL SANCHEZ NAZARIEGA,1454506.29
51,"CRO.NET, S.A. DE C.V.",CRO.NET,CRO.NET,1425388.0
136,"SISTEMA DE CABLE HKAN, S.A. DE C.V.",SISTEMA DE CABLE HKAN,SISTEMA DE CABLE HKAN,1295764.98
21,"CABLE SALTO DE AGUA, S.A. DE C.V.",CABLE SALTO DEL AGUA,CABLE SALTO DEL AGUA,1191496.0
42,"CONSORCIO DE RADIODIFUSORAS DE MEXICO, S.A. DE C.V.",TV-K,TV-K,1094570.0
60,"ES TV COM, S.A. DE C.V.",ES TV COM,ES TV COM,1008023.0
94,"KUBO CEL, S.A.P.I. DE C.V.",QBO CEL,QBO CEL,998132.75
92,JOSÉ ASCENCIÓN GODÍNEZ RAMÍREZ,TELECABLE DE MARIANO ESCOBEDO Y SAN AGUSTIN DEL PULQUE,TELECABLE DE MARIANO ESCOBEDO,568497.32
177,TOMAS CRISTOBAL CRUZ,TOMAS CRISTOBAL CRUZ,TOMAS CRISTOBAL CRUZ,548000.0
22,"CABLE SISTEMA DEL CENTRO, S.A. DE C.V.",CABLE SISTEMA DEL CENTRO,CABLE SISTEMA DEL CENTRO,474403.0
88,JAIME SANCHEZ SANCHEZ,JAIME SANCHEZ SANCHEZ,JAIME SANCHEZ SANCHEZ,474403.0
139,"SOLUCIONES Y ASESORIA EN COBRANZA, S. DE R.L. DE C.V.",IGOU TELECOM,IGOU TELECOM,424046.07999999996
113,NORMA GUTIERREZ FONG,NORMA GUTIERREZ FONG,NORMA GUTIERREZ FONG,411324.30000000005
67,"GRUPO CORPORATIVO ZUNUN PAZ, S. A. DE C.V.",GRUPO CORPORATIVO ZUNUN PAZ,GRUPO CORPORATIVO ZUNUN PAZ,340986.0
176,"TELMOV MOVIL, S.A. DE C.V.",TELMOVIL,TELMOVIL,332068.91000000003
17,"BROCOMUNICACIONES MOVILES, S.A.P.I. DE C.V.",BROMOVIL,BROMOVIL,320585.15
34,"CITRO TELECOM, S.A. DE C.V.",CITRO TELECOM,CITRO TELECOM,123094.15
56,EDUARDO PEDRERO PEREZ,EDUARDO PEDRERO PEREZ,EDUARDO PEDRERO PEREZ,68200.0
69,"GRUPO MAGERCA COMUNICACIONES, S.A. DE C.V.",AXIA CABLECENTRO,AXIA CABLECENTRO,43500.0
38,"COMNET, S.A. DE C.V.",COMNET,COMNET,43293.04
125,"REX MOVIL MEXICO, S.A. DE C.V.",REX MOVIL,REX MOVIL,11422.0
80,HUGO ABEL PUENTE ANGUIANO,HUGO ABEL PUENTE ANGUIANO,HUGO ABEL PUENTE ANGUIANO,2845.0
