Columna1,Columna2,Columna3,,Columna1,Columna2,Columna3,,,Columna1,Columna2,Columna3
CONCESIONARIO,EMPRESA,GRUPO,,CONCESIONARIO,EMPRESA,GRUPO,,,CONCESIONARIO,EMPRESA,GRUPO
"GRUPO W COM, S.A. DE C.V.",STAR GO/STAR TV,STARGROUP,,"BBG COMUNICACION, S.A. DE C.V.",BBG COMUNICACION,BBG COMUNICACION,,,"TELECABLE DE VILLANUEVA, S.A. DE C.V.",TELECABLE DE VILLANUEVA,TELECABLE DE VILLANUEVA
"TELECOMUNICACIONES 360, S.A. DE C.V.",OUI,OUI,,SARA QUIROZ CHAPA,SARA QUIROZ CHAPA,SARA QUIROZ CHAPA,,,GABRIEL BUTRON CHIAPA,GABRIEL BUTRON CHIAPA,GABRIEL BUTRON CHIAPA
"MARCATEL COM, S.A. DE C.V.",MARCATEL,MARCATEL,,"COORDINADORA DE CARRIER´S, S.A. DE C.V.",CCA,CCA,,,"SISCAB DE MEXICO, S.A. DE C.V.",SISCAB DE MEXICO,SISCAB DE MEXICO
"MAXCOM TELECOMUNICACIONES, S.A.B. DE C.V.",MAXCOM,TRANSTELCO,,"TELESISTEMAS DIGITALES DE MEXICO, S.A. DE C.V.",LINK TE CONECTAMOS,LINK TE CONECTAMOS,,,"JACE TELECOM, S.A. DE C.V.",JACE TELECOM,JACE TELECOM
"SATELITES MEXICANOS, S.A. DE C.V.",EUTELSAT AMERICAS,EUTELSAT AMERICAS,,"GILAT SATELLITE NETWORKS MEXICO, S.A. DE C.V.",GILAT,GILAT,,,"VALOR AGREGADO DIGITAL, S.A. DE C.V.",VADSA,VADSA
"HNS DE MEXICO, S.A. DE C.V.",HNS DE MEXICO,HNS DE MEXICO,,"CABLEVISION DE APATZINGAN, S.A. DE C.V.",CABLEVISION DE APATZINGAN,CABLEVISION DE APATZINGAN,,,"STAR NET, S.A. DE C.V.",STAR NET,STAR NET
"TELEVERA RED, S.A.P.I. DE C.V.",TELEVERA RED,STARGROUP,,MARCO ANTONIO ROSALES HERRERA,MARCO ANTONIO ROSALES HERRERA,MARCO ANTONIO ROSALES HERRERA,,,"SIERRA NORTE TELEVISION POR CABLE, S.A. DE C.V.",SINOTECA,SINOTECA
"UC TELECOMUNICACIONES, S.A.P.I. DE C.V.",UC TELECOM,UC TELECOM,,"OPENIP COMUNICACIONES, S.A. DE C.V.",TOKA MOVIL,TOKA MOVIL,,,GUILLERMO MEDELLIN MILAN,GUILLERMO MEDELLIN MILAN,GUILLERMO MEDELLIN MILAN
"VERIZON SERVICIOS EMPRESARIALES MEXICO, S. DE R.L. DE C.V.",VERIZON SERVICIOS EMPRESARIALES MEXICO,VERIZON SERVICIOS EMPRESARIALES MEXICO,,"NEXT TELEKOM, S.A.P.I. DE C.V.",NEXT TELEKOM,NEXT TELEKOM,,,ARELY ISABEL GONGORA PECH,ARELY ISABEL GONGORA PECH,ARELY ISABEL GONGORA PECH
"AXESS NET.SOLUTIONS MEXICO, S.A. DE C.V.",AXESS,HISPASAT,,"TELECABLE DE XALTIANGUIS, S.A. DE C.V.",TELECABLE DE XALTIANGUIS,TELECABLE DE XALTIANGUIS,,,AGUSTIN PEREZ VIEYRA,AGUSTIN PEREZ VIEYRA,AGUSTIN PEREZ VIEYRA
"BT LATAM MEXICO, S.A. DE C.V.",BT LATAM MEXICO,BT LATAM MEXICO,,"TELECOM NACIONAL, S. DE R.L. DE C.V.",TELECOM NACIONAL,TELECOM NACIONAL,,,"SISTEMAS ESPECIALES DE COMUNICACION, S.A.",SECSA,SECSA
"GSAT COMUNICACIONES, S.A. DE C.V.",GLOBAL SAT,GLOBALSAT,,"TELESISTEMAS POTOSINOS, S.A. DE C.V.",LINK TE CONECTAMOS,LINK TE CONECTAMOS,,,"INTEGRA COMUNICACIONES, S. DE R.L. DE C.V.",INTEGRA COMUNICACIONES,INTEGRA COMUNICACIONES
"TALENTO NET, S. DE R.L. DE C.V.",NEWWW,NEWWW,,"USA TELECOM, S. DE R.L. DE C.V.",USA TELECOM,USA TELECOM,,,"GO 3PLAY, S. DE R.L. DE C.V.",GOBO,GOBO
"WIMOTELECOM, S.A. DE C.V.",WIMOTELECOM,WIMOTELECOM,,"VISUALES Y COMUNICACIONES, S.A. DE C.V.",SUPERCOM,SUPERCOM,,,SUCN. DE HORTENSIA TOSCANO MORA,TELECABLE DE AGUILILLA,TELECABLE DE AGUILILLA
"IENTC, S. DE R.L. DE C.V.",IENTC TELECOMUNICACIONES,IENTC,,"TELECABLE DE TICUL, S.A. DE C.V.",TELECABLE DE TICUL,TELECABLE DE TICUL,,,"TELECAB, S.A. DE C.V.",TELECAB,TELECAB
"VIRGIN MOBILE MEXICO, S. DE R.L. DE C.V.",VIRGIN MOBILE,VIRGIN MOBILE,,"AIRE CABLE, S.A. DE C.V.",AIRECABLE,AIRECABLE,,,ROBERTO LOPEZ BRAVO,ROBERTO LOPEZ BRAVO,ROBERTO LOPEZ BRAVO
"HISPASAT MEXICO, S.A. DE C.V.",HISPASAT,HISPASAT,,"OPERADORA TELEFONICA PENINSULAR, S.A.P.I. DE C.V.",OPERADORA TELEFONICA PENINSULAR,OPERADORA TELEFONICA PENINSULAR,,,"MARKETING 358, S.A. DE C.V.",MARKETING 358,MARKETING 358
"ELARA COMUNICACIONES, S.A.P.I. DE C.V.",ELARA COMUNICACIONES,ELARA COMUNICACIONES,,"MAXICABLE DE MEXICO, S.A. DE C.V.",MAXICABLE,MAXICABLE,,,"CONCABLETV, S.A. DE C.V.",CONCABLETV,CONCABLETV
"FREEDOMPOP MEXICO, S.A. DE C.V.",FREEDOMPOP,FREEDOM,,"COMCAB, S.A. DE C.V.",COMCAB,COMCAB,,,JESUS MIGUEL FERNANDEZ GUERRERO,JESUS MIGUEL FERNANDEZ GUERRERO,JESUS MIGUEL FERNANDEZ GUERRERO
"DIRI TELECOMUNICACIONES, S.A. DE C.V.",DIRI MOVIL,DIRI MOVIL,,"GURUCOMM, S.A.P.I. DE C.V.",GURUCOMM,GURUCOMM,,,"TELESISTEMAS Y REDES MEXIQUENSES, S.A. DE C.V.",ESPID,ESPID
"SIHI MEXICO, S. DE R.L. DE C.V.",SIHI MEXICO,SIHI MEXICO,,"CABLEPLAY TELECOMUNICACIONES, S.A. DE C.V.",CABLEPLAY,CABLEPLAY,,,MANUEL LOPEZ AVILA,MANUEL LOPEZ AVILA,MANUEL LOPEZ AVILA
