Columna1,Columna2,Columna3,,,,,,
CONCESIONARIO,EMPRESA,GRUPO,,,,,,
"RADIOMOVIL DIPSA, S.A. DE C.V.",TELCEL,AMÉRICA MÓVIL,,,,,,
"TELEFONOS DE MEXICO, S.A.B. DE C.V.",TELMEX,AMÉRICA MÓVIL,,,,,,
"AT&T COMUNICACIONES DIGITALES, S. DE R.L. DE C.V.",AT&T,AT&T,,,,,,
"PEGASO PCS, S.A. DE C.V.",MOVISTAR,TELEFÓNICA,,,,,,
"CORPORACION DE RADIO Y TELEVISION DEL NORTE DE MEXICO, S. DE R.L. DE C.V.",SKY,GRUPO TELEVISA,,,,,,
"MEGA CABLE, S.A. DE C.V.",MEGACABLE,MEGACABLE-MCM,,,,,,
"TOTAL PLAY TELECOMUNICACIONES, S.A. DE C.V.",TOTALPLAY,TOTALPLAY,,,,,,
"CABLEMAS TELECOMUNICACIONES, S.A. DE C.V.",IZZI,GRUPO TELEVISA,,,,,,
"AXTEL, S.A.B. DE C.V.",AXTEL,AXTEL,,,,,,
"CABLEVISION, S.A. DE C.V.",CABLEVISION,GRUPO TELEVISA,,,,,,
"COMERCIALIZADORA DE FRECUENCIAS SATELITALES, S. DE R.L. DE C.V.",DISH,MVS,,,,,,
"TELEVISION INTERNACIONAL, S.A. DE C.V.",TELEVISION INTERNACIONAL,GRUPO TELEVISA,,,,,,
"MEXICO RED DE TELECOMUNICACIONES, S. DE R.L. DE C.V.",CABLECOM,GRUPO TELEVISA,,,,,,
"TV CABLE DE ORIENTE, S.A. DE C.V.",IZZI,GRUPO TELEVISA,,,,,,
"CABLEVISION RED, S.A. DE C.V.",CABLEVISION RED,GRUPO TELEVISA,,,,,,
"OPERBES, S.A. DE C.V.",BESTEL,GRUPO TELEVISA,,,,,,
"ALTAN REDES, S.A.P.I. DE C.V.",ALTAN,ALTAN,,,,,,Columna1
"MEGACABLE COMUNICACIONES DE MEXICO, S.A. DE C.V.",MCM TELECOM,MEGACABLE-MCM,,,,,,AMÉRICA MÓVIL
"GRUPO DE TELECOMUNICACIONES DE ALTA CAPACIDAD, S.A.P.I. DE C.V.",GTAC REDES DE FIBRA OPTICA,GRUPO TELEVISA,,,,,,AT&T
"CABLE SORO, S.A. DE C.V.",MEGACABLE,MEGACABLE-MCM,,,,,,TELEFÓNICA
"COMBAND, S.A. DE C.V.",MVSTV,MVS,,,,,,GRUPO TELEVISA
"TELECABLE DE COENEO, S.A. DE C.V.",MEGACABLE,MEGACABLE-MCM,,,,,,MEGACABLE-MCM
"TELEDISTRIBUCION POR CABLE, S.A. DE C.V.",MEGACABLE,MEGACABLE-MCM,,,,,,TOTALPLAY
ADOLFO MERINO MEDINA,CABLEMAS,GRUPO TELEVISA,,,,,,AXTEL
,,,,,,,,MVS
,,,,,,,,ALTAN
