,CONCESIONARIO,EMPRESA,GRUPO,INGRESOS_TOTAL_E
88,"RADIOMOVIL DIPSA, S.A. DE C.V.",TELCEL,AMÉRICA MÓVIL,218288998808.0
117,"TELEFONOS DE MEXICO, S.A.B. DE C.V.",TELMEX,AMÉRICA MÓVIL,120031140723.0
6,"AT&T COMUNICACIONES DIGITALES, S. DE R.L. DE C.V.",AT&T,AT&T,55793781168.0
87,"PEGASO PCS, S.A. DE C.V.",MOVISTAR,TELEFÓNICA,24871583943.0
33,"CORPORACION DE RADIO Y TELEVISION DEL NORTE DE MEXICO, S. DE R.L. DE C.V.",SKY,GRUPO TELEVISA,24112031768.0
76,"MEGA CABLE, S.A. DE C.V.",MEGACABLE,MEGACABLE-MCM,23567319612.0
125,"TOTAL PLAY TELECOMUNICACIONES, S.A. DE C.V.",TOTALPLAY,TOTALPLAY,22784126736.0
15,"CABLEMAS TELECOMUNICACIONES, S.A. DE C.V.",IZZI,GRUPO TELEVISA,9765026568.0
9,"AXTEL, S.A.B. DE C.V.",AXTEL,AXTEL,8742237448.0
20,"CABLEVISION, S.A. DE C.V.",CABLEVISION,GRUPO TELEVISA,7858397482.0
25,"COMERCIALIZADORA DE FRECUENCIAS SATELITALES, S. DE R.L. DE C.V.",DISH,MVS,5147296438.0
123,"TELEVISION INTERNACIONAL, S.A. DE C.V.",TELEVISION INTERNACIONAL,GRUPO TELEVISA,4877002991.0
78,"MEXICO RED DE TELECOMUNICACIONES, S. DE R.L. DE C.V.",CABLECOM,GRUPO TELEVISA,2954414555.1
126,"TV CABLE DE ORIENTE, S.A. DE C.V.",IZZI,GRUPO TELEVISA,2907451220.0
19,"CABLEVISION RED, S.A. DE C.V.",CABLEVISION RED,GRUPO TELEVISA,2883757649.1
86,"OPERBES, S.A. DE C.V.",BESTEL,GRUPO TELEVISA,2879231196.3
4,"ALTAN REDES, S.A.P.I. DE C.V.",ALTAN,ALTAN,2834607753.3
77,"MEGACABLE COMUNICACIONES DE MEXICO, S.A. DE C.V.",MCM TELECOM,MEGACABLE-MCM,1075678091.5
46,"GRUPO DE TELECOMUNICACIONES DE ALTA CAPACIDAD, S.A.P.I. DE C.V.",GTAC REDES DE FIBRA OPTICA,GRUPO TELEVISA,1062534797.0
14,"CABLE SORO, S.A. DE C.V.",MEGACABLE,MEGACABLE-MCM,13749617.05
23,"COMBAND, S.A. DE C.V.",MVSTV,MVS,11409328.100000001
107,"TELECABLE DE COENEO, S.A. DE C.V.",MEGACABLE,MEGACABLE-MCM,11094520.28
116,"TELEDISTRIBUCION POR CABLE, S.A. DE C.V.",MEGACABLE,MEGACABLE-MCM,8930015.9
0,ADOLFO MERINO MEDINA,CABLEMAS,GRUPO TELEVISA,1648000.0
