FOLIO,ANIO,TRIM,FECHA,CONCESIONARIO,K_EMPRESA,EMPRESA,K_GRUPO,GRUPO,I_FIJO_MOVIL,INGRESOS_TOTAL_E
100028,2021,4,15DEC2021,ADOLFO MERINO MEDINA,C0089,CABLEMAS,G004,GRUPO TELEVISA,Fijo,434431.00
100029,2021,4,15DEC2021,AGUSTIN PEREZ VIEYRA,C0009,AGUSTIN PEREZ VIEYRA,C009,AGUSTIN PEREZ VIEYRA,Fijo,682018.80
100065,2021,4,15DEC2021,ARELY ISABEL GONGORA PECH,C0046,ARELY ISABEL GONGORA PECH,C046,ARELY ISABEL GONGORA PECH,Fijo,1149516.00
100142,2021,4,15DEC2021,FRANCISCO GUERRA GARCIA,C0666,FRANCISCO GUERRA GARCIA,C666,FRANCISCO GUERRA GARCIA,FIJO,1947843.00
100147,2021,4,15DEC2021,GABRIEL BUTRON CHIAPA,C0199,GABRIEL BUTRON CHIAPA,C199,GABRIEL BUTRON CHIAPA,Fijo,1109813.00
100157,2021,4,15DEC2021,GUILLERMO MEDELLIN MILAN,C0228,GUILLERMO MEDELLIN MILAN,C228,GUILLERMO MEDELLIN MILAN,Fijo,544100.51
100158,2021,4,15DEC2021,GUILLERMO ZARATE GARCIA,C0229,GUILLERMO ZARATE GARCIA,C229,GUILLERMO ZARATE GARCIA,Fijo,177672.41
100169,2021,4,15DEC2021,ISALIA MORENO ZETINA,C0261,ISALIA MORENO ZETINA,C261,ISALIA MORENO ZETINA,Fijo,131741.00
100178,2021,4,15DEC2021,JAIME SANCHEZ SANCHEZ,C0273,JAIME SANCHEZ SANCHEZ,C273,JAIME SANCHEZ SANCHEZ,Fijo,125171.00
100185,2021,4,15DEC2021,JESUS MIGUEL FERNANDEZ GUERRERO,C0281,JESUS MIGUEL FERNANDEZ GUERRERO,C281,JESUS MIGUEL FERNANDEZ GUERRERO,Fijo,599473.00
100212,2021,4,15DEC2021,JOSE JULIAN SACRAMENTO GARZA,C0304,JOSE JULIAN SACRAMENTO GARZA,C304,JOSE JULIAN SACRAMENTO GARZA,Fijo,334327.43
100265,2021,4,15DEC2021,MANUEL LOPEZ AVILA,C0347,MANUEL LOPEZ AVILA,C347,MANUEL LOPEZ AVILA,Fijo,548370.00
100272,2021,4,15DEC2021,MARCO ANTONIO ROSALES HERRERA,C0353,MARCO ANTONIO ROSALES HERRERA,C353,MARCO ANTONIO ROSALES HERRERA,Fijo,6252549.68
100342,2021,4,15DEC2021,ROBERTO LOPEZ BRAVO,C0455,ROBERTO LOPEZ BRAVO,C455,ROBERTO LOPEZ BRAVO,Fijo,528760.14
100362,2021,4,15DEC2021,SARA QUIROZ CHAPA,C0474,SARA QUIROZ CHAPA,C474,SARA QUIROZ CHAPA,Fijo,7745533.35
100393,2021,4,15DEC2021,"CONSORCIO DE RADIODIFUSORAS DE MEXICO, S.A. DE C.V.",C0127,TV-K,C127,TV-K,Fijo,286059.00
100404,2021,4,15DEC2021,"TELECAB, S.A. DE C.V.",C0521,TELECAB,C521,TELECAB,Fijo,588315.00
100409,2021,4,15DEC2021,"GRUPO W COM, S.A. DE C.V.",C0039,STAR GO/STAR TV,C725,STARGROUP,Fijo,204555712.41
100418,2021,4,15DEC2021,"MEGA CABLE, S.A. DE C.V.",C0378,MEGACABLE,G008,MEGACABLE-MCM,Fijo y OMV,6143429237.02
100430,2021,4,15DEC2021,"TELESISTEMAS PENINSULARES, S.A. DE C.V.",C0564,TELESISTEMAS PENINSULARES,C564,TELESISTEMAS PENINSULARES,Fijo,14043523.69
100443,2021,4,15DEC2021,"AXTEL, S.A.B. DE C.V.",C0055,AXTEL,G009,AXTEL,Fijo,
100445,2021,4,15DEC2021,"GSAT COMUNICACIONES, S.A. DE C.V.",C0223,GLOBAL SAT,C223,GLOBALSAT,Fijo,79019186.00
100459,2021,4,15DEC2021,"TELECOM NACIONAL, S. DE R.L. DE C.V.",C0553,TELECOM NACIONAL,C553,TELECOM NACIONAL,Fijo,4095968.00
100467,2021,4,15DEC2021,"TOTAL PLAY TELECOMUNICACIONES, S.A. DE C.V.",C0584,TOTALPLAY,C584,TOTALPLAY,Fijo,6192632691.09
100472,2021,4,15DEC2021,"AXESS NET.SOLUTIONS MEXICO, S.A. DE C.V.",C0054,AXESS,C054,AXESAT,Fijo,88628131.00
100492,2021,4,15DEC2021,"AIRE CABLE, S.A. DE C.V.",C0010,AIRECABLE,C010,AIRECABLE,Fijo,3155850.88
100501,2021,4,15DEC2021,"TELEDISTRIBUCION POR CABLE, S.A. DE C.V.",C0378,MEGACABLE,G008,MEGACABLE-MCM,Fijo,2576962.87
100514,2021,4,15DEC2021,"USA TELECOM, S. DE R.L. DE C.V.",C0618,USA TELECOM,C618,USA TELECOM,Fijo,3811700.00
100543,2021,4,15DEC2021,"COMCAB, S.A. DE C.V.",C0109,COMCAB,C109,COMCAB,Fijo,3270914.00
100546,2021,4,15DEC2021,"SIERRA NORTE TELEVISION POR CABLE, S.A. DE C.V.",C0487,SINOTECA,C487,SINOTECA,Fijo,744297.83
100569,2021,4,15DEC2021,"COORDINADORA DE TV POR CABLE, S.A. DE C.V.",C0649,COORDINADORA DE TV POR CABLE,C649,COORDINADORA DE TV POR CABLE,Fijo,440517.00
100572,2021,4,15DEC2021,"TV OJO CALIENTE, S.A. DE C.V.",C0598,TV OJO CALIENTE,C598,TV OJO CALIENTE,Fijo,2012590.34
100590,2021,4,15DEC2021,"CABLEMAS TELECOMUNICACIONES, S.A. DE C.V.",C0784,IZZI,G004,GRUPO TELEVISA,Fijo,3390914172.34
100596,2021,4,15DEC2021,"GRUPO DE TELECOMUNICACIONES DE ALTA CAPACIDAD, S.A.P.I. DE C.V.",C0047,GTAC REDES DE FIBRA OPTICA,C047,GTAC REDES DE FIBRA OPTICA,Fijo,282197600.00
100625,2021,4,15DEC2021,"RADIOMOVIL DIPSA, S.A. DE C.V.",C0517,TELCEL,G006,AMERICA MOVIL,Móvil,55908413293.00
100628,2021,4,15DEC2021,"TELECABLE DE TICUL, S.A. DE C.V.",C0542,TELECABLE DE TICUL,C542,TELECABLE DE TICUL,Fijo,3899128.11
100647,2021,4,15DEC2021,"OPERBES, S.A. DE C.V.",C0415,BESTEL,G004,GRUPO TELEVISA,Fijo,1101878143.41
