ANIO,MES,FOLIO,FECHA,CONCESIONARIO,K_EMPRESA,EMPRESA,K_GRUPO,GRUPO,A_TOTAL_E,Participación
2021,12,100028,15DEC2021,ADOLFO MERINO MEDINA,C0089,CABLEMAS,G004,GRUPO TELEVISA,10,4.14099E-07
2021,12,100029,15DEC2021,AGUSTIN PEREZ VIEYRA,C0009,AGUSTIN PEREZ VIEYRA,C009,AGUSTIN PEREZ VIEYRA,223,9.23441E-06
2021,12,100065,15DEC2021,ARELY ISABEL GONGORA PECH,C0046,ARELY ISABEL GONGORA PECH,C046,ARELY ISABEL GONGORA PECH,260,1.07666E-05
2021,12,100135,15DEC2021,FERNANDO CUERVO AMILPAS,C0188,"TV CABLE DE SAN RAFAEL, VER.",C188,GRUPO CONEC TV,,0
2021,12,100169,15DEC2021,ISALIA MORENO ZETINA,C0261,ISALIA MORENO ZETINA,C261,ISALIA MORENO ZETINA,1,4.14099E-08
2021,12,100272,15DEC2021,MARCO ANTONIO ROSALES HERRERA,C0353,MARCO ANTONIO ROSALES HERRERA,C353,MARCO ANTONIO ROSALES HERRERA,2967,0.000122863
2021,12,100362,15DEC2021,SARA QUIROZ CHAPA,C0474,SARA QUIROZ CHAPA,C474,SARA QUIROZ CHAPA,3087,0.000127832
2021,12,100404,15DEC2021,"TELECAB, S.A. DE C.V.",C0521,TELECAB,C521,TELECAB,49,2.02909E-06
2021,12,100409,15DEC2021,"GRUPO W COM, S.A. DE C.V.",C0039,STAR GO,C725,STARGROUP,4213,0.00017446
2021,12,100418,15DEC2021,"MEGA CABLE, S.A. DE C.V.",C0378,MEGACABLE,G008,MEGACABLE-MCM,3560470,0.147438796
2021,12,100430,15DEC2021,"TELESISTEMAS PENINSULARES, S.A. DE C.V.",C0564,TELESISTEMAS PENINSULARES,C564,TELESISTEMAS PENINSULARES,4197,0.000173797
2021,12,100443,15DEC2021,"AXTEL, S.A.B. DE C.V.",C0055,AXTEL,G009,AXTEL,,0
2021,12,100445,15DEC2021,"GSAT COMUNICACIONES, S.A. DE C.V.",C0223,GLOBALSAT,C223,GLOBALSAT,1805,7.47449E-05
2021,12,100467,15DEC2021,"TOTAL PLAY TELECOMUNICACIONES, S.A. DE C.V.",C0584,TOTALPLAY,C584,TOTALPLAY,3585894,0.148491602
2021,12,100472,15DEC2021,"AXESS NET.SOLUTIONS MEXICO, S.A. DE C.V.",C0054,AXESS,C054,AXESAT,890,3.68548E-05
2021,12,100492,15DEC2021,"AIRE CABLE, S.A. DE C.V.",C0010,AIRECABLE,C010,AIRECABLE,4594,0.000190237
2021,12,100501,15DEC2021,"TELEDISTRIBUCION POR CABLE, S.A. DE C.V.",C0378,MEGACABLE,G008,MEGACABLE-MCM,822,3.4039E-05
2021,12,100539,15DEC2021,"TELEFONOS DEL NOROESTE, S.A. DE C.V.",C0578,TELNOR,G006,AMÉRICA MÓVIL,463663,0.01920025
2021,12,100546,15DEC2021,"SIERRA NORTE TELEVISION POR CABLE, S.A. DE C.V.",C0487,SINOTECA,C487,SINOTECA,1536,6.36056E-05
2021,12,100569,15DEC2021,"COORDINADORA DE TV POR CABLE, S.A. DE C.V.",C0089,COORDINADORA DE TV POR CABLE,C089,COORDINADORA DE TV POR CABLE,7,2.89869E-07
2021,12,100572,15DEC2021,"TV OJO CALIENTE, S.A. DE C.V.",C0598,TV OJO CALIENTE,C598,TV OJO CALIENTE,505,2.0912E-05
2021,12,100590,15DEC2021,"CABLEMAS TELECOMUNICACIONES, S.A. DE C.V.",C0784,IZZI,G004,GRUPO TELEVISA,2084639,0.086324745
2021,12,100622,15DEC2021,"IP MATRIX, S.A. DE C.V.",C0259,TRANSTELCO,C259,TRANSTELCO,1729,7.15978E-05
2021,12,100647,15DEC2021,"OPERBES, S.A. DE C.V.",C0415,BESTEL,G004,GRUPO TELEVISA,,0
2021,12,100656,15DEC2021,"CABLEVISION RED, S.A. DE C.V.",C0639,CABLEVISION RED,G004,GRUPO TELEVISA,537130,0.022242513
2021,12,100666,15DEC2021,"MARCATEL COM, S.A. DE C.V.",C0350,MARCATEL,C350,MARCATEL,47,1.94627E-06
2021,12,100669,15DEC2021,"TV CABLE DE ORIENTE, S.A. DE C.V.",C0784,IZZI,G004,GRUPO TELEVISA,661893,0.02740894
2021,12,100676,15DEC2021,"TELESISTEMAS DIGITALES DE MEXICO, S.A. DE C.V.",C0476,LINK TE CONECTAMOS,C476,LINK TE CONECTAMOS,4257,0.000176282
2021,12,100692,15DEC2021,"TELEVISION INTERNACIONAL, S.A. DE C.V.",C0571,TELEVISION INTERNACIONAL,G004,GRUPO TELEVISA,942948,0.039047406
2021,12,100747,15DEC2021,"COMERCIALIZADORA DE FRECUENCIAS SATELITALES, S. DE R.L. DE C.V.",C0149,DISH,G002,DISH-MVS,128409,0.005317407
2021,12,100747,15DEC2021,"COMERCIALIZADORA DE FRECUENCIAS SATELITALES, S. DE R.L. DE C.V.",C0149,DISH,G002,DISH-MVS,468,1.93798E-05
2021,12,100759,15DEC2021,"MAXICABLE DE MEXICO, S.A. DE C.V.",C0374,MAXICABLE,C374,MAXICABLE,1872,7.75194E-05
2021,12,100767,15DEC2021,"TELECABLE DE COENEO, S.A. DE C.V.",C0378,MEGACABLE,G008,MEGACABLE-MCM,1101,4.55923E-05
2021,12,100770,15DEC2021,"CORPORACION DE RADIO Y TELEVISION DEL NORTE DE MEXICO, S. DE R.L. DE C.V.",C0508,SKY,G004,GRUPO TELEVISA,727226,0.030114374
2021,12,100809,15DEC2021,"MEGACABLE COMUNICACIONES DE MEXICO, S.A. DE C.V.",C0377,MCM TELECOM,G008,MEGACABLE-MCM,3241,0.00013421
2021,12,100818,15DEC2021,"BT LATAM MEXICO, S.A. DE C.V.",C0065,BT LATAM MEXICO,C065,BT LATAM MEXICO,2,8.28199E-08
2021,12,100865,15DEC2021,"CABLEVISION, S.A. DE C.V.",C0268,CABLEVISION,G004,GRUPO TELEVISA,1400654,0.058000977
2021,12,101346,15DEC2021,"PEGASO PCS, S.A. DE C.V.",C0422,MOVISTAR,G003,TELEFÓNICA,14180,0.000587193
2021,12,101784,15DEC2021,"MEXICO RED DE TELECOMUNICACIONES, S. DE R.L. DE C.V.",C0087,CABLECOM,G004,GRUPO TELEVISA,,0
2021,12,102301,15DEC2021,"VERIZON SERVICIOS EMPRESARIALES MEXICO, S. DE R.L. DE C.V.",C0622,VERIZON SERVICIOS EMPRESARIALES MEXICO,C622,VERIZON SERVICIOS EMPRESARIALES MEXICO,26,1.07666E-06
2021,12,102992,15DEC2021,"TELEFONOS DE MEXICO, S.A.B. DE C.V.",C0577,TELMEX,G006,AMÉRICA MÓVIL,9572946,0.396414977
