FOLIO,FECHA,ANIO,MES,K_GRUPO,GRUPO,K_EMPRESA,EMPRESA,CONCESIONARIO,L_TOTAL_E,Participación
100625,15DEC2021,2021,12,G006,AMÉRICA MÓVIL,C0517,TELCEL,"RADIOMOVIL DIPSA, S.A. DE C.V.",76801010,0.705658652
100770,15DEC2021,2021,12,G004,GRUPO TELEVISA,C0508,SKY,"CORPORACION DE RADIO Y TELEVISION DEL NORTE DE MEXICO, S. DE R.L. DE C.V.",704,6.46845E-06
101346,15DEC2021,2021,12,G003,TELEFÓNICA,C0422,MOVISTAR,"PEGASO PCS, S.A. DE C.V.",10489770,0.096381505
102273,15DEC2021,2021,12,C655,OUI,C0655,OUI,"TELECOMUNICACIONES 360, S.A. DE C.V.",617580,0.005674413
105695,15DEC2021,2021,12,G008,MEGACABLE-MCM,C0378,MEGACABLE,"SERVICIO Y EQUIPO EN TELEFONIA INTERNET Y TV, S.A. DE C.V.",0,0
106633,15DEC2021,2021,12,C705,TOKA MOVIL,C0705,TOKA MOVIL,"OPENIP COMUNICACIONES, S.A. DE C.V.",930,8.54497E-06
106835,15DEC2021,2021,12,C644,BUENO CELL,C0644,BUENO CELL,"IBO CELL, S.A.P.I. DE C.V.",20305,0.000186565
106870,15DEC2021,2021,12,C717,IENTC,C0717,IENTC,"IENTC, S. DE R.L. DE C.V.",6958,6.39311E-05
107326,15DEC2021,2021,12,G007,AT&T,C0051,AT&T,"AT&T COMUNICACIONES DIGITALES, S. DE R.L. DE C.V.",19128540,0.175755758
107353,15DEC2021,2021,12,C704,FLASH MOBILE,C0704,FLASH MOBILE,"LOGISTICA ACN MEXICO, S. DE R.L. DE C.V.",188191,0.001729126
107366,15DEC2021,2021,12,C701,SIMPATI,C0701,SIMPATI,"CELMEX INNOVA, S.A.P.I. DE C.V.",31799,0.000292174
509193,15DEC2021,2021,12,C709,FREEDOMPOP,C0709,FREEDOMPOP,"FREEDOMPOP MEXICO, S.A. DE C.V.",1231734,0.011317348
516798,15DEC2021,2021,12,C775,VASANTA,C0775,VASANTA,"VASANTA COMUNICACIONES, S.A.P.I. DE C.V.",13187,0.000121164
517038,15DEC2021,2021,12,C747,YOBI TELECOM,C0747,YOBI TELECOM,"CELMAX MOVIL, S.A. DE C.V.",86457,0.000794379
517573,15DEC2021,2021,12,C746,ADDINTELI,C0746,ADDINTELI,"AGREGADORA DE INTELIGENCIA EN NEGOCIOS TECNOLOGICOS, S.A. DE C.V.",2484,2.28233E-05
517975,15DEC2021,2021,12,C751,NEWWW,C0751,NEWWW,"TALENTO NET, S. DE R.L. DE C.V.",3507,3.22228E-05
518633,15DEC2021,2021,12,C758,WIMOTELECOM,C0758,WIMOTELECOM,"WIMOTELECOM, S.A. DE C.V.",15071,0.000138475
518870,15DEC2021,2021,12,C656,WEEX,C0566,WEEX,"COMRELOADED, S.A.P.I. DE C.V.",53277,0.000489517
519163,15DEC2021,2021,12,C807,RED DOG,C0807,RED DOG,"CONVERGENCIA Y DESARROLLO DIGITAL, S.A. DE C.V.",40,3.67526E-07
519208,15DEC2021,2021,12,C080,TELMOVIL,C0080,TELMOVIL,"TELMOV MOVIL, S.A. DE C.V.",112503,0.001033694
519363,15DEC2021,2021,12,C473,MARKETING 358,C0473,MARKETING 358,"MARKETING 358, S.A. DE C.V.",31752,0.000291742
519422,15DEC2021,2021,12,C511,BROMOVIL,C0511,BROMOVIL,"BROCOMUNICACIONES MOVILES, S.A.P.I. DE C.V.",0,0
100854,15DEC2021,2021,12,C485,SERVITRON,C0485,SERVITRON,"SERVICIOS TRONCALIZADOS, S.A. DE C.V.",123,1.13014E-06
