FOLIO,CONCESIONARIO,K_EMPRESA,EMPRESA,K_ENTIDAD,FECHA,L_TOTAL_E,ANIO,MES,K_GRUPO,GRUPO,ENTIDAD
100418,"MEGA CABLE, S.A. DE C.V.",C0378,MEGACABLE,1,15DEC2021,0,2021,12,G008,MEGACABLE-MCM,Aguascalientes
100418,"MEGA CABLE, S.A. DE C.V.",C0378,MEGACABLE,2,15DEC2021,2469,2021,12,G008,MEGACABLE-MCM,Baja California
100418,"MEGA CABLE, S.A. DE C.V.",C0378,MEGACABLE,3,15DEC2021,49774,2021,12,G008,MEGACABLE-MCM,Baja California Sur
100418,"MEGA CABLE, S.A. DE C.V.",C0378,MEGACABLE,4,15DEC2021,2736,2021,12,G008,MEGACABLE-MCM,Campeche
100418,"MEGA CABLE, S.A. DE C.V.",C0378,MEGACABLE,5,15DEC2021,92924,2021,12,G008,MEGACABLE-MCM,Coahuila de Zaragoza
100418,"MEGA CABLE, S.A. DE C.V.",C0378,MEGACABLE,6,15DEC2021,52999,2021,12,G008,MEGACABLE-MCM,Colima
100418,"MEGA CABLE, S.A. DE C.V.",C0378,MEGACABLE,7,15DEC2021,112378,2021,12,G008,MEGACABLE-MCM,Chiapas
100418,"MEGA CABLE, S.A. DE C.V.",C0378,MEGACABLE,8,15DEC2021,8763,2021,12,G008,MEGACABLE-MCM,Chihuahua
100418,"MEGA CABLE, S.A. DE C.V.",C0378,MEGACABLE,9,15DEC2021,11197,2021,12,G008,MEGACABLE-MCM,Ciudad de Mexico
100418,"MEGA CABLE, S.A. DE C.V.",C0378,MEGACABLE,10,15DEC2021,94752,2021,12,G008,MEGACABLE-MCM,Durango
100418,"MEGA CABLE, S.A. DE C.V.",C0378,MEGACABLE,11,15DEC2021,247331,2021,12,G008,MEGACABLE-MCM,Guanajuato
100418,"MEGA CABLE, S.A. DE C.V.",C0378,MEGACABLE,12,15DEC2021,15637,2021,12,G008,MEGACABLE-MCM,Guerrero
100418,"MEGA CABLE, S.A. DE C.V.",C0378,MEGACABLE,13,15DEC2021,13257,2021,12,G008,MEGACABLE-MCM,Hidalgo
100418,"MEGA CABLE, S.A. DE C.V.",C0378,MEGACABLE,14,15DEC2021,359567,2021,12,G008,MEGACABLE-MCM,Jalisco
