FOLIO,FECHA,ANIO,MES,K_GRUPO,GRUPO,K_EMPRESA,EMPRESA,CONCESIONARIO,L_TOTAL_E,Participación
100625,15DEC2021,2021,12,G006,AMÉRICA MÓVIL,C0517,TELCEL,"RADIOMOVIL DIPSA, S.A. DE C.V.",79751853,0.633832181
101346,15DEC2021,2021,12,G003,TELEFÓNICA,C0422,MOVISTAR,"PEGASO PCS, S.A. DE C.V.",22953701,0.182425785
107326,15DEC2021,2021,12,G007,AT&T,C0051,AT&T,"AT&T COMUNICACIONES DIGITALES, S. DE R.L. DE C.V.",19995643,0.158916458
509193,15DEC2021,2021,12,C709,FREEDOM,C0709,FREEDOMPOP,"FREEDOMPOP MEXICO, S.A. DE C.V.",1231734,0.009789273
102273,15DEC2021,2021,12,C655,OUI,C0655,OUI,"TELECOMUNICACIONES 360, S.A. DE C.V.",617580,0.004908251
100418,15DEC2021,2021,12,G008,MEGACABLE-MCM,C0378,MEGACABLE,"MEGA CABLE, S.A. DE C.V.",399514,0.003175159
107353,15DEC2021,2021,12,C704,FLASH MOBILE,C0704,FLASH MOBILE,"LOGISTICA ACN MEXICO, S. DE R.L. DE C.V.",188191,0.001495658
100656,15DEC2021,2021,12,G004,GRUPO TELEVISA,C0639,CABLEVISION RED,"CABLEVISION RED, S.A. DE C.V.",149247,0.001186149
517649,15DEC2021,2021,12,C756,DIRI MOVIL,C0756,DIRI MOVIL,"DIRI TELECOMUNICACIONES, S.A. DE C.V.",135781,0.001079127
519208,15DEC2021,2021,12,C080,TELMOVIL,C0080,TELMOVIL,"TELMOV MOVIL, S.A. DE C.V.",112503,0.000894124
518870,15DEC2021,2021,12,C656,WEEX,C0566,WEEX,"COMRELOADED, S.A.P.I. DE C.V.",89039,0.000707642
107366,15DEC2021,2021,12,C701,SIMPATI,C0701,SIMPATI,"CELMEX INNOVA, S.A.P.I. DE C.V.",31799,0.000252724
519363,15DEC2021,2021,12,C473,MARKETING 358,C0473,MARKETING 358,"MARKETING 358, S.A. DE C.V.",31736,0.000252224
100770,15DEC2021,2021,12,G004,GRUPO TELEVISA,C0508,SKY,"CORPORACION DE RADIO Y TELEVISION DEL NORTE DE MEXICO, S. DE R.L. DE C.V.",30266,0.000240541
105695,15DEC2021,2021,12,G008,MEGACABLE-MCM,C0378,MEGACABLE,"SERVICIO Y EQUIPO EN TELEFONIA INTERNET Y TV, S.A. DE C.V.",24543,0.000195057
517038,15DEC2021,2021,12,C747,YOBI TELECOM,C0747,YOBI TELECOM,"CELMAX MOVIL, S.A. DE C.V.",19729,0.000156797
518633,15DEC2021,2021,12,C758,WIMOTELECOM,C0758,WIMOTELECOM,"WIMOTELECOM, S.A. DE C.V.",16004,0.000127193
100747,15DEC2021,2021,12,G002,DISH-MVS,C0149,DISH,"COMERCIALIZADORA DE FRECUENCIAS SATELITALES, S. DE R.L. DE C.V.",13344,0.000106052
516798,15DEC2021,2021,12,C775,VASANTA,C0775,VASANTA,"VASANTA COMUNICACIONES, S.A.P.I. DE C.V.",13046,0.000103684
517975,15DEC2021,2021,12,C751,NEWWW,C0751,NEWWW,"TALENTO NET, S. DE R.L. DE C.V.",7177,5.70396E-05
106870,15DEC2021,2021,12,C717,IENTC,C0717,IENTC,"IENTC, S. DE R.L. DE C.V.",6522,5.18339E-05
517573,15DEC2021,2021,12,C746,ADDINTELI,C0746,ADDINTELI,"AGREGADORA DE INTELIGENCIA EN NEGOCIOS TECNOLOGICOS, S.A. DE C.V.",2426,1.92808E-05
105790,15DEC2021,2021,12,C725,STARGROUP,C0725,TELEVERA RED,"TELEVERA RED, S.A.P.I. DE C.V.",1124,8.93305E-06
106633,15DEC2021,2021,12,C705,TOKA MOVIL,C0705,TOKA MOVIL,"OPENIP COMUNICACIONES, S.A. DE C.V.",930,7.39123E-06
519422,15DEC2021,2021,12,C511,BROMOVIL,C0511,BROMOVIL,"BROCOMUNICACIONES MOVILES, S.A.P.I. DE C.V.",823,6.54084E-06
106835,15DEC2021,2021,12,C644,BUENO CELL,C0644,BUENO CELL,"IBO CELL, S.A.P.I. DE C.V.",485,3.85456E-06
517654,15DEC2021,2021,12,C826,IGOU TELECOM,C0826,IGOU TELECOM,"SOLUCIONES Y ASESORIA EN COBRANZA, S. DE R.L. DE C.V.",88,6.99385E-07
107341,15DEC2021,2021,12,C735,NEXT TELEKOM,C0735,NEXT TELEKOM,"NEXT TELEKOM, S.A.P.I. DE C.V.",44,3.49692E-07
